title,price,date_posted,address,rental_type,num_bedrooms,num_bathrooms,url,company,company_type,Parking Included,Agreement Type,Pet Friendly,Move-In Date,Size (sqft),Furnished,Air Conditioning,Smoking Permitted,Elevator Accessibility Features,Barrier-free Entrances and Ramps,Visual Aids,Accessible Washrooms in Suite,heat,hydro,water,cable_tv,internet,laundry_unit,laundry_building,dishwasher,fridge_freezer,yard,balcony,building_security,building_elevator,building_gym,bycycle_parking,storage_space
Beautiful 2 bedroom available for April 1st!,2450,2024-03-13T16:56:36.000Z,"2060  Quingate Place, Halifax, NS, B3L 4P7",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-2-bedroom-available-for-april-1st/1684868632,Kijiji User,Professional,0,1 Year,No,01-Apr-24,Not Available,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No
Beautiful bachelor apartment for March 15th!,1695,2024-03-13T16:56:36.000Z,"5885 Spring Garden Road, Halifax, NS, B3H 1y3",Apartment,Bachelor/Studio,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-bachelor-apartment-for-march-15th/1686336422,Kijiji User,Professional,0,1 Year,No,15-Mar-24,Not Available,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No
23-103 Newly renovated lower flat in Halifax.UTILITIES INCLUDE,2200,2024-03-13T16:48:27.000Z,"Almon Street, Halifax, NS, B3L 1V8",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/23-103-newly-renovated-lower-flat-in-halifax-utilities-include/1678291246,Kijiji User,Professional,0,1 Year,No,24-Mar-24,Not Available,No,Yes,No,,,,,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
"Central Halifax- Lrg 1 bedroom- bacony, Laundry, parking",1595,2024-03-13T15:42:00.000Z,"2360 Hunter St., Halifax, NS, B3K 4V6",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/central-halifax-lrg-1-bedroom-bacony-laundry-parking/1688104602,Kijiji User,Professional,1,1 Year,Limited,01-May-24,Not Available,No,No,Outdoors only,,,,,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No
1 Bedroom Apartment in South End Halifax,1710,2024-03-13T15:32:47.000Z,"Halifax, NS B3J 2E7",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-apartment-in-south-end-halifax/1688107703,Kijiji User,Owner,0,1 Year,Limited,01-May-24,700,No,No,No,,,,,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
Cozy 1 bedroom apartment for rent available immediately ,1150,2024-03-13T14:50:58.000Z,"1562 Prospect Rd, Hatchet Lake, NS B3T 1P7",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/cozy-1-bedroom-apartment-for-rent-available-immediately/1688102619,Kijiji User,Owner,2,1 Year,Limited,13-Mar-24,600,No,Yes,Outdoors only,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sublet April 15-July 31,1025,2024-03-13T14:24:24.000Z,"Hollis St, Halifax, B3J 1T6",,1,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/sublet-april-15-july-31/1688099740,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
NEWLY RENOVATED APARTMENT IN FAIRVIEW- 49 MELROSE AVENUE,1750,2024-03-13T14:02:23.000Z,"49-57 Melrose Avenue, Halifax, NS, B3N 2E5",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/newly-renovated-apartment-in-fairview-49-melrose-avenue/1674610741,Kijiji User,Professional,0,1 Year,No,15-Mar-24,Not Available,No,No,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No
5 Bedroom House Sublet Opportunity for Summer 2024,850,2024-03-13T13:58:46.000Z,"1736 Robie St, Halifax, B3H 3E8",,4,2,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/5-bedroom-house-sublet-opportunity-for-summer-2024/1688096993,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
303 McFatridge  - 1 Bedroom Apt with View of Bedford Basin!,1600,2024-03-13T12:03:07.000Z,"303-33 McFatridge Road, Halifax, NS, B3N 2R2",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/303-mcfatridge-1-bedroom-apt-with-view-of-bedford-basin/1686852909,Kijiji User,Professional,1,1 Year,Yes,01-Apr-24,Not Available,No,No,No,,,,,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No
77 Executive - 1 Bedroom Apt in a beautiful Sackville Home!,1800,2024-03-13T12:03:02.000Z,"77 - Lower Executive Drive, Sackville, NS, B4E 3A7",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/77-executive-1-bedroom-apt-in-a-beautiful-sackville-home/1686955326,Kijiji User,Professional,1,1 Year,No,01-Apr-24,Not Available,No,Yes,No,,,,,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
"3 Bedroom Split Entry Home ~ Connolly Road, Middle Sackville!",2300,2024-03-13T12:02:55.000Z,"102 Connolly Road, Middle Sackville, NS, B4E 1S7",House,3,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/3-bedroom-split-entry-home-connolly-road-middle-sackville/1679665498,Kijiji User,Professional,2,1 Year,Yes,07-Sep-21,Not Available,No,No,No,,,,,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
CHARMING 2 BR + 2 DEN LR SACKVILLE HOME AVAILABLE MARCH 1ST!,2195,2024-03-13T11:59:50.000Z,"132 Old Beaverbank Road, Lower Sackville, NS, B4E 1J3",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/charming-2-br-2-den-lr-sackville-home-available-march-1st/1686333278,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Room for Sublet May-August 2024,975,2024-03-13T10:32:07.000Z,"Halifax, NS B3H 3W8",,1,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/room-for-sublet-may-august-2024/1688081139,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Apartment for 5 at See-more from 1st June until 31st August,961,2024-03-13T03:44:55.000Z,"1412 Seymour Street, Halifax, NS",,5,2,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/apartment-for-5-at-see-more-from-1st-june-until-31st-august/1688067984,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Live in Style: FURNISHED DELUXE ROOM IN HALIFAX,1280,2024-03-13T03:03:42.000Z,"1333 South Park St, Halifax, NS B3J 2K9",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/live-in-style:-furnished-deluxe-room-in-halifax/1688065778,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Waterview ! 2 Bed 1.5 Bath Avail June 1st - Granbury Place,2500,2024-03-13T02:51:16.000Z,"45 Vimy Avenue, Halifax, NS",Condo,2,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/waterview-2-bed-1-5-bath-avail-june-1st-granbury-place/1688065015,Kijiji User,Owner,1,1 Year,Limited,01-Jun-24,914,No,Yes,No,,,,,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
Two rooms for rent in 2 bedroom appartment,1250,2024-03-13T02:18:38.000Z,"Barkton Ln, Halifax, NS B3M",Apartment,2,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/two-rooms-for-rent-in-2-bedroom-appartment/1688062441,Kijiji User,Professional,0,Month-to-month,Yes,01-Apr-24,"1,200",No,Yes,Outdoors only,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
432 Herring Cove Road - Brand New 1 Bedroom Apartment - $1699,1699,2024-03-13T01:01:17.000Z,"432 Herring Cove Road, Halifax, NS, B3R 1W4",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/432-herring-cove-road-brand-new-1-bedroom-apartment-1699/1682278272,Kijiji User,Professional,0,1 Year,Yes,01-Apr-24,400,No,Yes,No,,,,,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
Large renovated bachelor. May or June. South End,1495,2024-03-13T00:15:43.000Z,"1263 Queen Street, Halifax, NS",Apartment,Bachelor/Studio,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/large-renovated-bachelor-may-or-june-south-end/1688052417,Kijiji User,Professional,0,1 Year,Limited,01-May-24,400,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes
19 Twenty Apartments - Bachelor available at 1920 Brunswick Stre,2030,2024-03-13T00:07:59.000Z,"1920 Brunswick Street, Halifax, NS, B3J 0C5",Apartment,Bachelor/Studio,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/19-twenty-apartments-bachelor-available-at-1920-brunswick-stre/1682383289,Kijiji User,Professional,0,1 Year,Yes,01-Apr-24,507,No,No,No,,,,,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Summer 2024 Sublet | 3 Bedrooms for Rent | Binney Street,1000,2024-03-12T23:45:15.000Z,"6011 Binney St, Halifax, NS B3H 3E7, Canada",,3,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/summer-2024-sublet-3-bedrooms-for-rent-binney-street/1688050478,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Room for Rent - Summer Sublet,850,2024-03-12T21:52:45.000Z,"Halifax, NS B3H 3X2",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-for-rent-summer-sublet/1688040830,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Beautiful Studio Apartment at The Vuze!,1995,2024-03-12T20:48:00.000Z,"5633 Fenwick Street, Halifax, NS, B3H 4M2",Apartment,Bachelor/Studio,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-studio-apartment-at-the-vuze/1688028962,Kijiji User,Professional,1,Not Available,Yes,01-Mar-24,500,No,Yes,No,,Not Available,Not Available,Not Available,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No
Two-bedroom close to Halifax Shopping Centre and Quinpool,2100,2024-03-12T20:22:36.000Z,"Churchill Drive, Halifax, NS",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/two-bedroom-close-to-halifax-shopping-centre-and-quinpool/1688032348,Kijiji User,Owner,1,1 Year,Yes,01-Apr-24,850,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Private room for rent ,950,2024-03-12T20:11:48.000Z,"Tower Rd, Halifax, NS B3H 2Y5",,2,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/private-room-for-rent/1688031404,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Spring Garden St 1400 sqf starting from May,3,2024-03-12T20:06:03.000Z,"1456 Dresden Row, Halifax, B3J 3T5",,,,https://www.kijiji.ca/v-commercial-office-space/city-of-halifax/spring-garden-st-1400-sqf-starting-from-may/1688030861,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Beautiful 1 Bedroom Penthouse at The Vuze!,2450,2024-03-12T20:00:01.000Z,"5633 Fenwick Street, Halifax, NS, B3H 4M2",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-1-bedroom-penthouse-at-the-vuze/1688028957,Kijiji User,Professional,1,Not Available,Yes,01-Apr-24,800,No,Yes,No,,Not Available,Not Available,Not Available,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No
2 Bedroom in Halifax for July,2595,2024-03-12T20:00:00.000Z,"7037 Mumford Rd, Halifax, NS, B3L 2J1",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-in-halifax-for-july/1688027359,Kijiji User,Professional,0,1 Year,Limited,01-Jul-24,"1,033",No,No,No,,,,,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
NEW BUILD - 2 Bedroom Lower Flat,2250,2024-03-12T19:54:02.000Z,"29 McIntosh Street, Halifax, NS, B3R 1G9",Basement,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/new-build-2-bedroom-lower-flat/1688029421,Kijiji User,Professional,1,Not Available,Yes,01-Apr-24,1,No,Yes,No,,Not Available,Not Available,Not Available,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Beautiful 2 Bedroom at The Vuze!,2900,2024-03-12T19:54:01.000Z,"5633 Fenwick Street, Halifax, NS, B3H 4M2",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-2-bedroom-at-the-vuze/1688028966,Kijiji User,Professional,1,Not Available,Yes,01-Mar-24,"1,050",No,Yes,No,,Not Available,Not Available,Not Available,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No
Rare 3 bedroom in central Spryfield- June 1st-$2195.00,2195,2024-03-12T19:54:01.000Z,"242 Herring Cove Road, Halifax, NS, B3P 1L7",Apartment,3,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/rare-3-bedroom-in-central-spryfield-june-1st-2195-00/1688027663,Kijiji User,Professional,1,1 Year,No,01-Jun-24,Not Available,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No
EURO 2 BEDROOM 1 BATH,2600,2024-03-12T19:54:01.000Z,"5633 Fenwick Street, Halifax, NS, B3H 4M2",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/euro-2-bedroom-1-bath/1688029020,Kijiji User,Professional,1,Not Available,Yes,01-Mar-24,800,No,Yes,No,,Not Available,Not Available,Not Available,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No
Bright 1 Bedroom on Oxford Street Near Dalhousie University,1995,2024-03-12T19:54:01.000Z,"1585 Oxford Street, Halifax, NS, B3H 3Z3",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-1-bedroom-on-oxford-street-near-dalhousie-university/1688028725,Kijiji User,Professional,1,Not Available,Yes,02-Mar-24,583,No,No,No,,Not Available,Not Available,Not Available,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes
Bright 1 Bedroom Near Dalhousie University,1850,2024-03-12T19:54:01.000Z,"1545 Oxford Street, Halifax, NS, B3H 3Z3",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-1-bedroom-near-dalhousie-university/1688029019,Kijiji User,Professional,1,Not Available,Yes,01-Mar-24,475,No,No,No,,Not Available,Not Available,Not Available,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes
"The Junction - 2 Bedroom, 2 Bathroom Apartment for Rent",2475,2024-03-12T19:54:00.000Z,"3075 Devonshire Avenue, Halifax, NS, B3K 0H5",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/the-junction-2-bedroom-2-bathroom-apartment-for-rent/1688027038,Kijiji User,Professional,0,1 Year,Yes,01-Apr-24,Not Available,No,Yes,No,,,,,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No
1 Bedroom + DEN Downtown Halifax for July,2195,2024-03-12T19:48:00.000Z,"1530 Birmingham Street, Halifax, NS, B3J 0B5",Apartment,1 + Den,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-den-downtown-halifax-for-july/1688027349,Kijiji User,Professional,0,1 Year,No,01-Jul-24,788,No,No,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
Cozy Home in West End Halifax,2395,2024-03-12T19:17:53.000Z,"Halifax, NS B3L 2C2",House,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/cozy-home-in-west-end-halifax/1688025502,Kijiji User,Owner,1,1 Year,Yes,01-Apr-24,"1,000",No,No,No,,,,,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
1 Bedroom + DEN Downtown Halifax for June,2145,2024-03-12T18:59:02.000Z,"1530 Birmingham Street, Halifax, NS, B3J 0B5",Apartment,1 + Den,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-den-downtown-halifax-for-june/1685558063,Kijiji User,Professional,0,1 Year,No,01-Jun-24,689,No,No,No,,,,,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes
1 Bedroom in 2 BHK,900,2024-03-12T18:58:42.000Z,"235 Willett St, Halifax, NS B3M 3M9",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-in-2-bhk/1688023820,Kijiji User,Owner,0,Month-to-month,No,01-Apr-24,"1,300",No,No,Yes,,,,,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No
Nice fully furnished and renovated basement,1650,2024-03-12T18:49:42.000Z,"Lakeside, NS B3T 1M4",Basement,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/nice-fully-furnished-and-renovated-basement/1688022923,Kijiji User,Owner,1,1 Year,No,30-Mar-24,500,Yes,No,Outdoors only,,,,,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No
Halifax 3 Bedroom Flat (furnished),2400,2024-03-12T18:45:29.000Z,"11 Quarry Rd, Halifax, NS B3N 1X1",Apartment,3,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/halifax-3-bedroom-flat-furnished/1687495522,Kijiji User,Owner,2,1 Year,Limited,15-Mar-24,"1,250",Yes,Yes,Outdoors only,,,,,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
1 bedroom available may-August near Dal,990,2024-03-12T18:42:51.000Z,"Watt Street, Halifax, NS",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/1-bedroom-available-may-august-near-dal/1688022251,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
South End Bachelor apartment,1350,2024-03-12T18:31:33.000Z,"5681 Rhuland St, Halifax, NS B3H 4J6",Apartment,Bachelor/Studio,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/south-end-bachelor-apartment/1688021157,Kijiji User,Owner,0,1 Year,No,15-Mar-24,420,No,No,No,,,,,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No
24-018 South End Halifax. Gorgeous upgraded home.,3300,2024-03-12T17:25:43.000Z,"South Street, Halifax, NS, B3J 1A4",House,2,2.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/24-018-south-end-halifax-gorgeous-upgraded-home/1686076397,Kijiji User,Professional,1,1 Year,Limited,24-Mar-24,Not Available,No,No,No,,,,,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
One bedroom lease take over,1860,2024-03-12T16:23:18.000Z,"5651 Ogilvie Street, Halifax, NS",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/one-bedroom-lease-take-over/1688009240,Kijiji User,Owner,0,1 Year,Yes,01-Apr-24,500,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
"2 Bedroom House in HRM for Rent - $1,9000/month, March 15",1900,2024-03-12T16:15:31.000Z,"Sambro, NS B3V 1G1",House,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-house-in-hrm-for-rent-1-9000-month-march-15/1686003339,Kijiji User,Owner,2,1 Year,Limited,15-Mar-24,780,Yes,Yes,No,,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
Beautiful 1 bedroom unit in Central Fairview! $1795.00,1795,2024-03-12T16:00:00.000Z,"2 SYBYL COURT, HALIFAX, NS, B3M 1G8",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-1-bedroom-unit-in-central-fairview-1795-00/1688001624,Kijiji User,Professional,1,1 Year,No,15-Mar-24,Not Available,No,No,No,,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No
New Modern Building Opening May 1st - Halifax!,,2024-03-12T15:54:00.000Z,"6450 Bayers Road, Halifax, NS, B3L 0C7",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/new-modern-building-opening-may-1st-halifax/1688002304,Kijiji User,Professional,0,1 Year,Yes,01-May-24,Not Available,No,No,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
Beautiful 2 Bedroom Downtown Halifax- Steps From QE2 and Dal!,2595,2024-03-12T15:36:00.000Z,"5620 South Street, Halifax, NS, B3J 0A7",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-2-bedroom-downtown-halifax-steps-from-qe2-and-dal/1688001635,Kijiji User,Professional,0,1 Year,No,12-Mar-24,Not Available,No,No,No,,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
Beautiful One bedroom steps from the Hydrostone- $1795.00,1795,2024-03-12T15:36:00.000Z,"3232 Isleville Street, Halifax, NS, B3K 3Y5",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-one-bedroom-steps-from-the-hydrostone-1795-00/1688001639,Kijiji User,Professional,0,1 Year,No,01-Apr-24,Not Available,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No
BEAUTIFUL 1 BDRM OVERLOOKING THE NORTHWEST ARM!,1795,2024-03-12T15:30:01.000Z,"7137 QUINPOOL ROAD, HALIFAX, NS, B3L 1C8",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-1-bdrm-overlooking-the-northwest-arm/1688001587,Kijiji User,Professional,0,1 Year,No,01-Apr-24,Not Available,No,No,No,,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No
2 BEDROOM basement unit for RENT in Halifax - West End  $2500,2500,2024-03-12T15:24:29.000Z,"2708 Connaught Avenue, Halifax, NS",Basement,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-basement-unit-for-rent-in-halifax-west-end-2500/1688003591,Kijiji User,Owner,1,1 Year,Limited,01-Apr-24,700,Yes,Yes,No,,,,,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No
4 BEDROOM house for RENT in Halifax Peninsula - West End,3500,2024-03-12T15:04:02.000Z,"2708 Connaught Avenue, Halifax, NS",House,4,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/4-bedroom-house-for-rent-in-halifax-peninsula-west-end/1688001293,Kijiji User,Owner,2,1 Year,Limited,01-Apr-24,"1,500",No,Yes,No,,,,,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
1738 Chestnut St - 1 Bedroom Apartment - May 1 2024,1779,2024-03-12T14:11:55.000Z,"1740 Chestnut St, Halifax, NS, B3H 3T6",Apartment,1 + Den,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1738-chestnut-st-1-bedroom-apartment-may-1-2024/1681365140,Kijiji User,Professional,0,1 Year,No,01-May-24,Not Available,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
FULL 7 BEDROOM HOUSE - JUNE 1 2024 - $1375 EACH PER MONTH,1375,2024-03-12T14:11:50.000Z,"1686 Robie St, Halifax, NS, B3H 3E7",House,5+,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/full-7-bedroom-house-june-1-2024-1375-each-per-month/1686717258,Kijiji User,Professional,0,1 Year,Yes,01-Jun-24,Not Available,No,No,No,,,,,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
1 Bedroom Unit Mins to Downtown - March 1st!,1950,2024-03-12T13:46:02.000Z,"3260 Barrington Street, Halifax, NS, B3K 0B5",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-unit-mins-to-downtown-march-1st/1686198458,Kijiji User,Professional,1,1 Year,Limited,,Not Available,No,No,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No
NEW! 1 & 2 bedroom apartments: from $1995/mth;  Hammonds Plains,1995,2024-03-12T13:32:56.000Z,"Appaloosa Run, Hammonds Plains, NS",Apartment,1 + Den,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/new-1-2-bedroom-apartments:-from-1995-mth-hammonds-plains/1685373425,Kijiji User,Owner,0,1 Year,Limited,01-Oct-24,"1,010",No,Yes,No,,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No
"Fantastic 2 bedroom North end Halifax, July 15th- $2295.00",2295,2024-03-12T13:00:01.000Z,"5511 Charles St., Halifax, NS, B3K 1K1",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fantastic-2-bedroom-north-end-halifax-july-15th-2295-00/1687986526,Kijiji User,Professional,0,1 Year,No,15-Jul-24,Not Available,No,No,No,,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No
Summer Sublet Opportunity; Perfect for Students,950,2024-03-12T12:49:54.000Z,"South Street, Halifax, NS",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/summer-sublet-opportunity-perfect-for-students/1687989601,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Saltbush Lane - 33 Townhome for Rent,1695,2024-03-12T12:00:00.000Z,"5 Saltbush, Halifax, NS, B4P 1P2",House,1,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/saltbush-lane-33-townhome-for-rent/1687981436,Kijiji User,Professional,1,1 Year,Limited,,Not Available,No,No,No,,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
96 Central Ave - One Bedroom Apartment for Rent,1475,2024-03-12T11:42:00.000Z,"96 Central Ave, Halifax, NS, B3N 2H8",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/96-central-ave-one-bedroom-apartment-for-rent/1687981439,Kijiji User,Professional,0,1 Year,Yes,,Not Available,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
