,title,price,date_posted,address,rental_type,num_bedrooms,num_bathrooms,url,company_type,num_parking,agreement_type,pet_friendly,move_in_date,size_sqft,furnished,air_conditioning,smoking_permitted,barrier_free_entrances_ramps,visual_aids,accessible_washrooms_in_suite,heat,hydro,water,cable_tv,internet,laundry_unit,laundry_building,dishwasher,fridge_freezer,yard,balcony,building_security,building_elevator,building_gym,bycycle_parking,storage_space
220,OFFICE SPACE FOR LEASE – DOWNTOWN HALIFAX,10000.0,2024-03-14 00:08:56+00:00,"1903 Barrington St, Halifax, NS, B3J 3L6",Apartment,1.0,1.0,https://www.kijiji.ca/v-commercial-office-space/city-of-halifax/office-space-for-lease-downtown-halifax/1666459845,Professional,0.0,1 Year,Limited,2024-03-29 08:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
221,1 bed 1 bath,14000.0,2024-03-14 00:01:42+00:00,"1452 Brenton St, Halifax, NS B3J 2K7",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bed-1-bath/1688156397,Owner,0.0,1 Year,No,2024-04-01 00:00:00.000000000,250.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
222,3 Bedroom 1 Bathroom For Rent Immediately ,30000.0,2024-03-13 23:41:54+00:00,"159 Crown Dr, Halifax, B3N 1L2",Apartment,3.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/3-bedroom-1-bathroom-for-rent-immediately/1688154916,Owner,3.0,1 Year,No,2024-04-01 00:00:00.000000000,1200.0,False,False,outdoors only,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
223,BEAUTIFUL 1 BED 1 BATH FURNISHED CONDO AVAILABLE MAY 1ST!,20000.0,2024-03-13 23:15:38+00:00,"15 Vimy Avenue, Halifax, NS, B3M 1G4",Condo,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-1-bed-1-bath-furnished-condo-available-may-1st/1688037076,Professional,2.0,1 Year,Limited,2024-05-01 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True
224,CHARMING 1 BED 1 BATH BASEMENT UNIT AVAILABLE NOW!,14500.0,2024-03-13 23:15:34+00:00,"3248 Veith Street, Halifax, NS, B3K 3H1",Basement,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/charming-1-bed-1-bath-basement-unit-available-now/1684499528,Professional,1.0,1 Year,Limited,2024-02-15 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
225,CHARMING NORTH END 1 BR 1 BATH APARTMENT AVAILABLE NOV. 1ST,17950.0,2024-03-13 23:15:30+00:00,"2326 Agricola Street, Halifax, NS, B3K 4B6",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/charming-north-end-1-br-1-bath-apartment-available-nov-1st/1676300953,Professional,0.0,1 Year,Limited,2023-11-01 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
226,SPACIOUS BRIGHT 3 BEDROOM 1 BATH FAIRVIEW RENTAL AVAIL NOW!,21950.0,2024-03-13 23:15:26+00:00,"68 Melrose Avenue, Halifax, NS, B3N 2E4",Apartment,3.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/spacious-bright-3-bedroom-1-bath-fairview-rental-avail-now/1684499530,Professional,2.0,1 Year,Yes,2024-02-01 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
227,BEAUTIFUL UPDATED 2 BED TOP FLOOR COWIE HILL UNIT AVAIL NOW!,22000.0,2024-03-13 23:15:22+00:00,"36 Cowie Hill Road, Halifax, NS, B3P 2P7",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-updated-2-bed-top-floor-cowie-hill-unit-avail-now/1687739695,Professional,1.0,1 Year,Limited,2024-03-15 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
228,MAY 1st -  STUNNING FAMILY HOME LAKE + HOT TUB - HAMMOND PLAINS,35000.0,2024-03-13 23:15:11+00:00,"324 Kingswood Drive, Hammonds Plains, NS, B4B 1M1",House,4.0,2.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/may-1st-stunning-family-home-lake-hot-tub-hammond-plains/1687170619,Professional,3.0,1 Year,Yes,2024-05-01 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
229,CHARMING TOP FLOOR 3 BED 1 BATH NORTH END APT AVAILABLE APRIL 1,23000.0,2024-03-13 23:15:10+00:00,"3223 Veith Street, Halifax, NS, B3K 3H1",Apartment,3.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/charming-top-floor-3-bed-1-bath-north-end-apt-available-april-1/1688037077,Professional,1.0,1 Year,Limited,2024-04-12 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False
230,"21-069 Nice semi detached home on quiet cul-de-sac, Halifax",19750.0,2024-03-13 22:54:30+00:00,"Frances Court, Halifax, NS, B3R 2R4",House,3.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/21-069-nice-semi-detached-home-on-quiet-cul-de-sac-halifax/1683435941,Professional,2.0,1 Year,No,2024-03-24 00:00:00.000000000,Not Available,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False
231,23-091 Beautifully upgraded FURNISHED flat in Downtown Halifax,22750.0,2024-03-13 22:54:26+00:00,"Bishop Street, Halifax, NS, B3J 1C9",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/23-091-beautifully-upgraded-furnished-flat-in-downtown-halifax/1675915345,Professional,1.0,1 Year,No,2024-03-24 00:00:00.000000000,Not Available,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False
232,"Short-Term Fully Furnished Oceanfront Home Jan 9, -April 30,2024",10000.0,2024-03-13 22:30:25+00:00,"Keans Road, Hubbards, NS",Apartment,3.0,2.0,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/short-term-fully-furnished-oceanfront-home-jan-9-april-30-2024/1681865120,Owner,0.0,1 Year,Limited,2024-03-19 12:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
233,Air Conditioned BIG TOP FLOOR North End apartment,26950.0,2024-03-13 21:54:00+00:00,"3807 Mont Blanc Terrace, Halifax, NS, B3K 6R9",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/air-conditioned-big-top-floor-north-end-apartment/1688142440,Professional,0.0,1 Year,Limited,2024-03-15 00:00:00.000000000,1382.0,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True
234,1 Bedroom in Halifax for April,19950.0,2024-03-13 21:54:00+00:00,"1078 Tower Road, Halifax, NS, B3H 2Y5",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-in-halifax-for-april/1688141565,Professional,0.0,1 Year,No,2024-04-01 00:00:00.000000000,478.0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,True
235,Room sublet for May 1st - Sept. 1st,7000.0,2024-03-13 21:49:13+00:00,"1514 Robie St, Halifax, NS B3H 3E4",Apartment,1.0,1.0,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/room-sublet-for-may-1st-sept-1st/1688145740,Owner,0.0,1 Year,Limited,2024-04-11 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
236,Amazing location! One room for rent starting May 1st,9950.0,2024-03-13 21:47:25+00:00,"Halifax, NS B3H 3C3",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/amazing-location-one-room-for-rent-starting-may-1st/1688145587,Private seller,0.0,1 Year,Limited,2024-04-21 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
237,1 Bedroom in Halifax for May,19950.0,2024-03-13 21:36:00+00:00,"1078 Tower Road, Halifax, NS, B3H 2Y5",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-in-halifax-for-may/1688141566,Professional,0.0,1 Year,No,2024-05-01 00:00:00.000000000,478.0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,True
238,Beautiful 2 Bedroom at The Crane August 1st,27950.0,2024-03-13 21:24:00+00:00,"1471 South Park Street, Halifax, NS, B3J 0J7",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-2-bedroom-at-the-crane-august-1st/1688141772,Professional,0.0,1 Year,No,2024-08-01 00:00:00.000000000,Not Available,False,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False,True,True,True,False,False,False
239,1 Bedroom Downtown Halifax for July,21950.0,2024-03-13 21:12:00+00:00,"1530 Birmingham Street, Halifax, NS, B3J 0B5",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-downtown-halifax-for-july/1688141564,Professional,0.0,1 Year,No,2024-07-01 00:00:00.000000000,530.0,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,True
240,Move in Ready ,12500.0,2024-03-13 20:46:42+00:00,"11 Osprey Dr, Shad Bay, NS B3T 2C1",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/move-in-ready/1688139953,Private seller,0.0,1 Year,Limited,2024-06-08 06:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
241,Private bedroom for summer sublet ,11250.0,2024-03-13 19:41:46+00:00,"Seymour St, Halifax, B3H 3M5",Apartment,5.0,2.0,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/private-bedroom-for-summer-sublet/1688133576,Owner,0.0,1 Year,Limited,2024-05-16 12:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
242,Summer sublet,16750.0,2024-03-13 19:35:45+00:00,"5633 Fenwick St, Halifax, B3H 1R2",Apartment,1.0,1.0,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/summer-sublet/1688133027,Owner,0.0,1 Year,Limited,2024-04-23 18:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
243,2 Bedroom Downtown Halifax for April,25950.0,2024-03-13 19:31:30+00:00,"1343 Hollis Street, Halifax, NS, B3J 1T8",Apartment,2.0,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-downtown-halifax-for-april/1687647775,Professional,0.0,1 Year,No,2024-04-01 00:00:00.000000000,1012.0,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,True
244,"2 Bedroom-1129 SQF Apartment for Rent - 211, 221 Glenforest Driv",25490.0,2024-03-13 19:29:42+00:00,"221 Glenforest Drive, Halifax, NS, B3M 1J3",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-1129-sqf-apartment-for-rent-211-221-glenforest-driv/1682150403,Professional,0.0,1 Year,Yes,2024-04-01 00:00:00.000000000,1129.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
245,1 Bedroom Apartment for Rent - 200 Willet Street,20230.0,2024-03-13 19:29:33+00:00,"200 Willet Street, Halifax, NS, B3M 3C5",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-apartment-for-rent-200-willet-street/1684246974,Professional,0.0,1 Year,No,2024-04-01 00:00:00.000000000,747.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
246,2 Bedroom Apartment for Rent - 200 Willet Street,24710.0,2024-03-13 19:29:28+00:00,"200 Willet Street, Halifax, NS, B3M 3C5",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-apartment-for-rent-200-willet-street/1684096229,Professional,0.0,1 Year,No,2024-04-01 00:00:00.000000000,981.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
247,Quiet Contemporary Downtown 2BDR apartment – Available May 1st.,21000.0,2024-03-13 19:18:08+00:00,"Halifax, NS B3K 3R8",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/quiet-contemporary-downtown-2bdr-apartment-available-may-1st/1688129846,Owner,0.0,1 Year,Limited,2024-05-01 00:00:00.000000000,750.0,False,False,False,True,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False,False
248,Quiet Contemporary Downtown 1BDR apartment – Available May 1st.,16500.0,2024-03-13 18:54:09+00:00,"Halifax, NS B3K 3R8",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/quiet-contemporary-downtown-1bdr-apartment-available-may-1st/1688128870,Owner,0.0,1 Year,Limited,2024-05-01 00:00:00.000000000,650.0,False,False,False,True,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False,False
249,Sublet: 1 Bedroom 1 Bathroom (May 1st - August 31),19000.0,2024-03-13 18:45:48+00:00,"Seymour Street, Halifax, NS",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/sublet:-1-bedroom-1-bathroom-may-1st-august-31/1688128058,Owner,1.0,Month-to-month,No,2024-05-01 00:00:00.000000000,521.0,True,True,False,True,False,False,True,True,True,False,True,True,False,False,False,False,True,False,True,True,True,False
250,Heritage Office Space for Lease Transfer – The Hydrostone,32320.0,2024-03-13 18:45:30+00:00,"Halifax, NS B3K 1Z7",Apartment,1.0,1.0,https://www.kijiji.ca/v-commercial-office-space/city-of-halifax/heritage-office-space-for-lease-transfer-the-hydrostone/1685100104,Owner,0.0,1 Year,Limited,2024-06-16 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
251,2 BED/2 BATH IN THE HEART OF THE SOUTH END HALIFAX!,30950.0,2024-03-13 18:21:00+00:00,"Queen Street, Halifax, NS",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bed-2-bath-in-the-heart-of-the-south-end-halifax/1688125615,Owner,0.0,1 Year,No,2024-08-01 00:00:00.000000000,950.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,True
252,South End Halifax - Beautiful 2 bed/2bath avail May 1st!,25950.0,2024-03-13 18:06:24+00:00,"Birmingham Street, Halifax, NS",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/south-end-halifax-beautiful-2-bed-2bath-avail-may-1st/1688123993,Owner,0.0,1 Year,No,2024-06-01 00:00:00.000000000,1115.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,True,True
253,Belmont Arms - 2 Bed/2 Bath avail May 1st.  Perfect for seniors!,29950.0,2024-03-13 17:40:43+00:00,"Tower Road, Halifax, NS",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/belmont-arms-2-bed-2-bath-avail-may-1st-perfect-for-seniors/1688121160,Owner,0.0,1 Year,No,2024-05-01 00:00:00.000000000,1350.0,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,True
254,Subletting 4 bedroom appartment,8950.0,2024-03-13 17:24:14+00:00,"1412 Seymour St, Halifax, NS B3H 3M5",Apartment,4.0,2.0,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/subletting-4-bedroom-appartment/1688119485,Owner,0.0,1 Year,Limited,2024-05-11 08:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
255,Room available in 3br house 7 min walk from NSCC Leeds St.,10000.0,2024-03-13 17:14:18+00:00,"Halifax, NS B3K 2V2",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-available-in-3br-house-7-min-walk-from-nscc-leeds-st/1688118465,Private seller,0.0,1 Year,Limited,2024-05-21 16:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
256,1 AND 2 BEDROOMS AVAILABLE JUNE 1ST! DOWNTOWN HALIFAX!!,21250.0,2024-03-13 17:04:23+00:00,"Queen Street, Halifax, NS",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-and-2-bedrooms-available-june-1st-downtown-halifax/1688117365,Owner,0.0,1 Year,No,2024-06-01 00:00:00.000000000,600.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,True,True,True
257,Spacious 2 BR at The Alexander - Avail May 1st,26950.0,2024-03-13 16:56:41+00:00,"5121 Bishop Street, Halifax, NS, B3J 0E5",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/spacious-2-br-at-the-alexander-avail-may-1st/1687311768,Professional,0.0,1 Year,Yes,2024-05-01 00:00:00.000000000,976.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,True,True,True
258,Beautiful 2 bedroom available for April 1st!,24500.0,2024-03-13 16:56:36+00:00,"2060  Quingate Place, Halifax, NS, B3L 4P7",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-2-bedroom-available-for-april-1st/1684868632,Professional,0.0,1 Year,No,2024-04-01 00:00:00.000000000,Not Available,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False
259,Beautiful bachelor apartment for March 15th!,16950.0,2024-03-13 16:56:36+00:00,"5885 Spring Garden Road, Halifax, NS, B3H 1y3",Apartment,0.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-bachelor-apartment-for-march-15th/1686336422,Professional,0.0,1 Year,No,2024-03-15 00:00:00.000000000,Not Available,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False
260,23-103 Newly renovated lower flat in Halifax.UTILITIES INCLUDE,22000.0,2024-03-13 16:48:27+00:00,"Almon Street, Halifax, NS, B3L 1V8",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/23-103-newly-renovated-lower-flat-in-halifax-utilities-include/1678291246,Professional,0.0,1 Year,No,2024-03-24 00:00:00.000000000,Not Available,False,True,False,True,False,False,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False
261,"Central Halifax- Lrg 1 bedroom- bacony, Laundry, parking",15950.0,2024-03-13 15:42:00+00:00,"2360 Hunter St., Halifax, NS, B3K 4V6",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/central-halifax-lrg-1-bedroom-bacony-laundry-parking/1688104602,Professional,1.0,1 Year,Limited,2024-05-01 00:00:00.000000000,Not Available,False,False,outdoors only,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False
262,1 Bedroom Apartment in South End Halifax,17100.0,2024-03-13 15:32:47+00:00,"Halifax, NS B3J 2E7",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-apartment-in-south-end-halifax/1688107703,Owner,0.0,1 Year,Limited,2024-05-01 00:00:00.000000000,700.0,False,False,False,True,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False
263,Cozy 1 bedroom apartment for rent available immediately ,11500.0,2024-03-13 14:50:58+00:00,"1562 Prospect Rd, Hatchet Lake, NS B3T 1P7",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/cozy-1-bedroom-apartment-for-rent-available-immediately/1688102619,Owner,2.0,1 Year,Limited,2024-03-13 00:00:00.000000000,600.0,False,True,outdoors only,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
264,Sublet April 15-July 31,10250.0,2024-03-13 14:24:24+00:00,"Hollis St, Halifax, B3J 1T6",Apartment,1.0,1.0,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/sublet-april-15-july-31/1688099740,Owner,0.0,1 Year,Limited,2024-03-14 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
265,NEWLY RENOVATED APARTMENT IN FAIRVIEW- 49 MELROSE AVENUE,17500.0,2024-03-13 14:02:23+00:00,"49-57 Melrose Avenue, Halifax, NS, B3N 2E5",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/newly-renovated-apartment-in-fairview-49-melrose-avenue/1674610741,Professional,0.0,1 Year,No,2024-03-15 00:00:00.000000000,Not Available,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False
266,5 Bedroom House Sublet Opportunity for Summer 2024,8500.0,2024-03-13 13:58:46+00:00,"1736 Robie St, Halifax, B3H 3E8",Apartment,4.0,2.0,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/5-bedroom-house-sublet-opportunity-for-summer-2024/1688096993,Owner,0.0,1 Year,Limited,2024-03-23 12:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
267,303 McFatridge  - 1 Bedroom Apt with View of Bedford Basin!,16000.0,2024-03-13 12:03:07+00:00,"303-33 McFatridge Road, Halifax, NS, B3N 2R2",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/303-mcfatridge-1-bedroom-apt-with-view-of-bedford-basin/1686852909,Professional,1.0,1 Year,Yes,2024-04-01 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False
268,77 Executive - 1 Bedroom Apt in a beautiful Sackville Home!,18000.0,2024-03-13 12:03:02+00:00,"77 - Lower Executive Drive, Sackville, NS, B4E 3A7",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/77-executive-1-bedroom-apt-in-a-beautiful-sackville-home/1686955326,Professional,1.0,1 Year,No,2024-04-01 00:00:00.000000000,Not Available,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False
269,"3 Bedroom Split Entry Home ~ Connolly Road, Middle Sackville!",23000.0,2024-03-13 12:02:55+00:00,"102 Connolly Road, Middle Sackville, NS, B4E 1S7",House,3.0,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/3-bedroom-split-entry-home-connolly-road-middle-sackville/1679665498,Professional,2.0,1 Year,Yes,2021-09-07 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False
270,CHARMING 2 BR + 2 DEN LR SACKVILLE HOME AVAILABLE MARCH 1ST!,21950.0,2024-03-13 11:59:50+00:00,"132 Old Beaverbank Road, Lower Sackville, NS, B4E 1J3",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/charming-2-br-2-den-lr-sackville-home-available-march-1st/1686333278,Private seller,0.0,1 Year,Limited,2022-03-25 14:24:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
271,Room for Sublet May-August 2024,9750.0,2024-03-13 10:32:07+00:00,"Halifax, NS B3H 3W8",Apartment,1.0,1.0,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/room-for-sublet-may-august-2024/1688081139,Owner,0.0,1 Year,Limited,2022-10-11 04:48:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
272,Apartment for 5 at See-more from 1st June until 31st August,9610.0,2024-03-13 03:44:55+00:00,"1412 Seymour Street, Halifax, NS",Apartment,5.0,2.0,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/apartment-for-5-at-see-more-from-1st-june-until-31st-august/1688067984,Owner,0.0,1 Year,Limited,2023-04-28 19:12:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
273,Live in Style: FURNISHED DELUXE ROOM IN HALIFAX,12800.0,2024-03-13 03:03:42+00:00,"1333 South Park St, Halifax, NS B3J 2K9",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/live-in-style:-furnished-deluxe-room-in-halifax/1688065778,Private seller,0.0,1 Year,Limited,2023-11-14 09:36:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
274,Waterview ! 2 Bed 1.5 Bath Avail June 1st - Granbury Place,25000.0,2024-03-13 02:51:16+00:00,"45 Vimy Avenue, Halifax, NS",Condo,2.0,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/waterview-2-bed-1-5-bath-avail-june-1st-granbury-place/1688065015,Owner,1.0,1 Year,Limited,2024-06-01 00:00:00.000000000,914.0,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,True,True,True,True,True
275,Two rooms for rent in 2 bedroom appartment,12500.0,2024-03-13 02:18:38+00:00,"Barkton Ln, Halifax, NS B3M",Apartment,2.0,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/two-rooms-for-rent-in-2-bedroom-appartment/1688062441,Professional,0.0,Month-to-month,Yes,2024-04-01 00:00:00.000000000,1200.0,False,True,outdoors only,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True
276,432 Herring Cove Road - Brand New 1 Bedroom Apartment - $1699,16990.0,2024-03-13 01:01:17+00:00,"432 Herring Cove Road, Halifax, NS, B3R 1W4",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/432-herring-cove-road-brand-new-1-bedroom-apartment-1699/1682278272,Professional,0.0,1 Year,Yes,2024-04-01 00:00:00.000000000,400.0,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,True,False,True,False,False,True,True
277,Large renovated bachelor. May or June. South End,14950.0,2024-03-13 00:15:43+00:00,"1263 Queen Street, Halifax, NS",Apartment,0.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/large-renovated-bachelor-may-or-june-south-end/1688052417,Professional,0.0,1 Year,Limited,2024-05-01 00:00:00.000000000,400.0,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,True
278,19 Twenty Apartments - Bachelor available at 1920 Brunswick Stre,20300.0,2024-03-13 00:07:59+00:00,"1920 Brunswick Street, Halifax, NS, B3J 0C5",Apartment,0.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/19-twenty-apartments-bachelor-available-at-1920-brunswick-stre/1682383289,Professional,0.0,1 Year,Yes,2024-04-01 00:00:00.000000000,507.0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,True,True,True,True
279,Summer 2024 Sublet | 3 Bedrooms for Rent | Binney Street,10000.0,2024-03-12 23:45:15+00:00,"6011 Binney St, Halifax, NS B3H 3E7, Canada",Apartment,3.0,1.0,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/summer-2024-sublet-3-bedrooms-for-rent-binney-street/1688050478,Owner,0.0,1 Year,Limited,2024-03-21 16:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
