title,price,date_posted,address,rental_type,num_bedrooms,num_bathrooms,url,company,company_type,Parking Included,Agreement Type,Pet Friendly,Move-In Date,Size (sqft),Furnished,Air Conditioning,Smoking Permitted,Elevator Accessibility Features,Barrier-free Entrances and Ramps,Visual Aids,Accessible Washrooms in Suite,heat,hydro,water,cable_tv,internet,laundry_unit,laundry_building,dishwasher,fridge_freezer,yard,balcony,building_security,building_elevator,building_gym,bycycle_parking,storage_space
Waterfront property NW Arm. May 1,3350.,2024-03-25T16:23:09.000Z,"Halifax, NS B3P 2B3",House,2 + Den,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/waterfront-property-nw-arm-may-1/1689184829,Kijiji User,Owner,2,1 Year,Limited,"April 30, 2024","1,700",No,Yes,No,,,,,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
BRIGHT/SMALL/1BR/FLAT/CLS2DAL/SMU/DWNTN/JUNE1/$1600INCL,1600.,2024-03-25T15:59:40.000Z,"Carlton Street, Halifax, NS",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-small-1br-flat-cls2dal-smu-dwntn-june1-1600incl/1689182487,Kijiji User,Owner,0,1 Year,No,"June 1, 2024",599,No,No,No,,,,,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
"Windsor st- All Inclusive,ht,hw,lights,parking",1350.,2024-03-25T15:54:30.000Z,"3511 Windsor St., Halifax, NS, B3K 5G6",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/windsor-st-all-inclusive-ht-hw-lights-parking/1689177062,Kijiji User,Professional,1,1 Year,No,"April 1, 2024",Not Available,No,No,Outdoors only,,,,,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
"Ford St-Heat,Hw incl. + Hardwood, 1 Parking-Balcony,Elevator",1595.,2024-03-25T15:36:15.000Z,"6 Ford St, Halifax, NS, B3M 2M6",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/ford-st-heat-hw-incl-hardwood-1-parking-balcony-elevator/1689177057,Kijiji User,Professional,1,1 Year,Limited,"April 1, 2024",Not Available,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes
Luxurious 2 bedroom Penthouse Style Suite on Hollis Street,6600.,2024-03-25T15:32:03.000Z,"Hollis Street, Halifax, NS",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/luxurious-2-bedroom-penthouse-style-suite-on-hollis-street/1676121053,Kijiji User,Professional,0,1 Year,Yes,"April 30, 2024","2,020",No,Yes,No,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Executive Furnished Condo Rental,2850.,2024-03-25T15:30:33.000Z,"1445 South Park Street, Halifax, NS",Condo,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/executive-furnished-condo-rental/1686951552,Kijiji User,Professional,1,1 Year,No,"March 4, 2024",890,Yes,Yes,No,,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes
2 BEDROOM APT - JULY 1ST - 6071 SHIRLEY ST,1799.,2024-03-25T15:30:32.000Z,"6071 Shirley Street, Halifax, NS",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-apt-july-1st-6071-shirley-st/1688203504,Kijiji User,Professional,0,1 Year,Limited,"July 1, 2024",750,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
Renovated 1 Bedroom  Apartments in Halifax - 18 Crown Drive,,2024-03-25T15:15:31.000Z,"Halifax, NS B3M 1C3",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/renovated-1-bedroom-apartments-in-halifax-18-crown-drive/1682649813,Kijiji User,Professional,0,1 Year,Limited,"March 1, 2024",500,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No
"Central Halifax- Lrg 1 bedroom- Laundry, parking",1595.,2024-03-25T15:12:01.000Z,"2360 Hunter St., Halifax, NS, B3K 4V6",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/central-halifax-lrg-1-bedroom-laundry-parking/1689177060,Kijiji User,Professional,0,1 Year,Limited,"May 1, 2024",Not Available,No,No,Outdoors only,,,,,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
South End Halifax - Beautiful 1 bed/1.5 bath avail June 1st!,2245.,2024-03-25T14:59:05.000Z,"Birmingham Street, Halifax, NS",Apartment,1,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/south-end-halifax-beautiful-1-bed-1-5-bath-avail-june-1st/1689176066,Kijiji User,Owner,0,1 Year,No,"June 1, 2024",740,No,Yes,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes
"2001 Mackeen, Halifax Apartmants, unit 806 up for lease transfer",2080.,2024-03-25T14:43:50.000Z,"Halifax, NS B3J 3J7",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2001-mackeen-halifax-apartmants-unit-806-up-for-lease-transfer/1689174424,Kijiji User,Owner,0,1 Year,No,"March 1, 2024",720,No,No,Outdoors only,,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Belmont Arms - 2 Bed/2 Bath avail May 1st.  Perfect for seniors!,3025.,2024-03-25T14:41:16.000Z,"Tower Road, Halifax, NS",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/belmont-arms-2-bed-2-bath-avail-may-1st-perfect-for-seniors/1689174156,Kijiji User,Owner,0,1 Year,No,"May 1, 2024","1,350",No,No,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No
FABULOUS 1 BEDROOM - DOWNTOWN HALIFAX,,2024-03-26T21:01:49.000Z,"1015 Barrington Street, Halifax, NS, B3H 4R4",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fabulous-1-bedroom-downtown-halifax/1667845560,Kijiji User,Professional,0,1 Year,Limited,,Not Available,No,No,Yes,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No
LARGE 2 BEDROOM AVAILABLE,,2024-03-26T01:52:35.000Z,"30 Ridgevalley Road, Halifax, NS, B3P 2J8",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/large-2-bedroom-available/1688104521,Kijiji User,Professional,1,1 Year,Limited,,Not Available,No,No,Yes,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No
LUXURY 1 BED + DEN IN BEDFORD,,2024-03-26T01:52:54.000Z,"230 Larry Uteck Blvd, Bedford, NS, B3N 0N1",Apartment,1 + Den,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/luxury-1-bed-den-in-bedford/1646233967,Kijiji User,Professional,0,1 Year,No,,Not Available,No,Yes,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
LOVELY 1 BEDROOM AVAILABLE IN CLAYTON PARK,1839.,2024-03-26T21:01:55.000Z,"85 Westgrove, 241 Willett Street, 235 Willett Street, Halifax, NS, B3M 3L7",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/lovely-1-bedroom-available-in-clayton-park/1688104514,Kijiji User,Professional,1,1 Year,Limited,,Not Available,No,No,Yes,,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes
1 Bedroom Apt - Avail June 1st in  Popular North End Halifax,1695.,2024-03-21T13:57:13.000Z,"3210 Agricola Street, Halifax, NS",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-apt-avail-june-1st-in-popular-north-end-halifax/1688832358,Kijiji User,Owner,1,1 Year,Limited,"June 1, 2024",700,No,Yes,Outdoors only,,,,,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
4 Bedroom House in Halifax for March,3995.,2024-03-19T19:26:07.000Z,"12 Palmer Hill, Halifax, NS, B3N 1S5",House,3,3,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/4-bedroom-house-in-halifax-for-march/1684095786,Kijiji User,Professional,0,1 Year,No,"March 1, 2024","4,400",No,No,No,,,,,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
1 AND 2 BEDROOMS AVAILABLE JUNE 1ST - DOWNTOWN HALIFAX,2125.,2024-03-25T14:23:58.000Z,"Queen Street, Halifax, NS",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-and-2-bedrooms-available-june-1st-downtown-halifax/1689172337,Kijiji User,Owner,0,1 Year,No,"June 1, 2024",600,No,Yes,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
BRAND NEW TWO BEDROOM STEPS FROM POINT PLEASANT PARK!!!,2999.,2024-03-25T14:19:45.000Z,"1027 South Park Street, Halifax, NS, B3H 2W2",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/brand-new-two-bedroom-steps-from-point-pleasant-park/1683791596,Kijiji User,Professional,0,1 Year,Yes,"February 1, 2024","1,000",No,Yes,No,,,,,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
BRAND NEW TWO BEDROOM FLAT IN QUIET NEIGHBOURHOOD AVAILABLE NOW!,2599.,2024-03-25T14:19:45.000Z,"2100 Poplar Street, Halifax, NS, B3L 2Y7",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/brand-new-two-bedroom-flat-in-quiet-neighbourhood-available-now/1687519784,Kijiji User,Professional,0,1 Year,Yes,"March 4, 2024",800,No,No,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
LARGE & BRIGHT ONE BEDROOM STEPS TO HFX SHOPPING CENTRE APRIL1ST,1549.,2024-03-25T14:19:45.000Z,"3103 Connaught Avenue, Halifax, NS, B3L 3A8",Basement,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/large-bright-one-bedroom-steps-to-hfx-shopping-centre-april1st/1687665634,Kijiji User,Professional,0,1 Year,Yes,"April 1, 2024",450,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
"RENOVATED TWO BEDROOM WITH BALCONY STEPS TO DOWNTOWN, DAL & SMU!",2509.,2024-03-25T14:19:44.000Z,"5713 Victoria Rd, Halifax, NS, B3H 2Y3",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/renovated-two-bedroom-with-balcony-steps-to-downtown-dal-smu/1687665617,Kijiji User,Professional,0,1 Year,Yes,"May 1, 2024",750,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No
LARGE & BRIGHT ONE BEDROOM STEPS TO SMU & DOWNTOWN  MAY 1ST!,1799.,2024-03-25T14:19:44.000Z,"5670 Inglis Street, Halifax, NS, B3H 1K3",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/large-bright-one-bedroom-steps-to-smu-downtown-may-1st/1683791586,Kijiji User,Professional,0,1 Year,Yes,"May 1, 2024",600,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
BRAND NEW ONE BEDROOM SUITE IN HERITAGE BUILDING! SOUTH END HFX!,2099.,2024-03-25T14:19:44.000Z,"1029 South Park Street, Halifax, NS, B3H 1M1",Basement,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/brand-new-one-bedroom-suite-in-heritage-building-south-end-hfx/1683309932,Kijiji User,Professional,0,1 Year,Limited,"May 1, 2024",805,No,No,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
"BRIGHT & SPACIOUS ONE BEDROOM STEPS TO DAL, SMU, IWK & DOWNTOWN!",1799.,2024-03-25T14:19:44.000Z,"6056 South Street, Halifax, NS, B3H 1T1",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-spacious-one-bedroom-steps-to-dal-smu-iwk-downtown/1683791561,Kijiji User,Professional,0,1 Year,Yes,"May 1, 2024",550,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
LARGE & BRIGHT ONE BEDROOM WITH LARGE BALCONY! SOUTH END!!!,1799.,2024-03-25T14:19:44.000Z,"5713 Victoria Road, Halifax, NS, B3H 2Y3",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/large-bright-one-bedroom-with-large-balcony-south-end/1678204713,Kijiji User,Professional,0,1 Year,Yes,"May 1, 2024",550,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No
BRAND NEW ONE BEDROOM SUITE STEPS TO SMU & DOWNTOWN!!!,2149.,2024-03-25T14:19:44.000Z,"5726 Inglis St, Halifax, NS, B3H 1K4",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/brand-new-one-bedroom-suite-steps-to-smu-downtown/1687665630,Kijiji User,Professional,0,1 Year,Yes,"May 1, 2024",500,No,Yes,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
BRIGHT & SPACIOUS TWO BEDROOM STEPS TO HFX SHOPPING CENTRE!!!,2099.,2024-03-25T14:19:44.000Z,"3693 Windsor Street, Halifax, NS, B3K 5G7",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-spacious-two-bedroom-steps-to-hfx-shopping-centre/1688736375,Kijiji User,Professional,0,1 Year,Yes,"August 1, 2024",800,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
"ALL UTILITIES INCLUDED BACHELOR APT STEPS TO DAL, SMU & IWK!!!",1549.,2024-03-25T14:19:44.000Z,"6060 South Street, Halifax, NS, B3H 1T1",Apartment,Bachelor/Studio,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/all-utilities-included-bachelor-apt-steps-to-dal-smu-iwk/1687665627,Kijiji User,Professional,0,1 Year,Yes,"August 1, 2024",450,No,No,Outdoors only,,,,,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
BRIGHT & SPACIOUS STUDIO APARTMENT IN NORTH END HALIFAX!!! AUG 1,1529.,2024-03-25T14:19:44.000Z,"5375 Rector Street, Halifax, NS, B3K 2N6",Apartment,Bachelor/Studio,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-spacious-studio-apartment-in-north-end-halifax-aug-1/1688736367,Kijiji User,Professional,0,1 Year,Yes,"August 1, 2024",300,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
BRAND NEW ONE BEDROOM! BALCONY! NORTH END HFX! AVAILABLE NOW!!!,1829.,2024-03-25T14:19:44.000Z,"6140 Lady Hammond Road, Halifax, NS, B3K 2R5",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/brand-new-one-bedroom-balcony-north-end-hfx-available-now/1679710380,Kijiji User,Professional,0,1 Year,Yes,"February 1, 2024",600,No,Yes,No,,,,,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
"RENOVATED ONE BEDROOM STEPS TO DAL, SMU HOSPITALS & DOWNTOWN!!!",2149.,2024-03-25T14:19:44.000Z,"6060 South Street, Halifax, NS, B3H 1T1",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/renovated-one-bedroom-steps-to-dal-smu-hospitals-downtown/1687665628,Kijiji User,Professional,0,1 Year,Yes,"August 1, 2024",500,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
"LARGE TWO BEDROOM WITH BALCONY STEPS TO DOWNTOWN, DAL & SMU!!!",2599.,2024-03-25T14:19:43.000Z,"5713 Victoria Rd, Halifax, NS, B3H 2Y3",Apartment,2,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/large-two-bedroom-with-balcony-steps-to-downtown-dal-smu/1683791598,Kijiji User,Professional,0,1 Year,Yes,"August 1, 2024",800,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No
432 Herring Cove Road - Brand New 1 Bedroom Apartment - $1699,1699.,2024-03-25T14:09:43.000Z,"432 Herring Cove Road, Halifax, NS, B3R 1W4",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/432-herring-cove-road-brand-new-1-bedroom-apartment-1699/1682278272,Kijiji User,Professional,0,1 Year,Yes,"May 1, 2024",400,No,Yes,No,,,,,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
2 McIntosh St - 2 Bedroom Apartment - Spryfield -$2050 - May 1,2050.,2024-03-25T14:09:33.000Z,"2 McIntosh St, Halifax, NS, B3R 1G8",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-mcintosh-st-2-bedroom-apartment-spryfield-2050-may-1/1682548276,Kijiji User,Professional,0,1 Year,Yes,"May 1, 2024",500,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
May 1 / June 1 -  HUGE 4 Bedroom Semidetached House,1000.,2024-03-25T14:02:55.000Z,"11 Rocklyn Road, Halifax, NS, B3P 2H8",House,4,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/may-1-june-1-huge-4-bedroom-semidetached-house/1687521129,Kijiji User,Professional,3+,1 Year,Yes,"May 1, 2024","2,700",No,Yes,No,,,,,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
"FAIVIEW, TWO BEDROOM APARTMENT FOR RENT JUNE 1ST,2024",1450.,2024-03-25T13:45:31.000Z,"Halifax, NS B3N",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/faiview-two-bedroom-apartment-for-rent-june-1st-2024/1689168510,Kijiji User,Owner,1,1 Year,No,"June 1, 2024",650,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No
"Two 1-Bedroom Apartments Available May 1, 2024",1795.,2024-03-25T13:04:26.000Z,"Kencrest Avenue, Halifax, NS",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/two-1-bedroom-apartments-available-may-1-2024/1688563091,Kijiji User,Owner,0,1 Year,Limited,"May 1, 2024",650,No,No,No,,,,,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2 BEDROOM basement unit for RENT in Halifax - West End - $1800,1800.,2024-03-25T12:12:35.000Z,"Connaught Avenue, Halifax, NS",Basement,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-basement-unit-for-rent-in-halifax-west-end-1800/1689162191,Kijiji User,Owner,1,1 Year,Limited,"April 1, 2024",700,No,Yes,Outdoors only,,,,,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
Pet Friendly Two Bedroom,2250.,2024-03-25T12:00:47.000Z,"Deal Street, Halifax, NS",Duplex/Triplex,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/pet-friendly-two-bedroom/1689161597,Kijiji User,Owner,1,1 Year,Yes,"May 1, 2024","1,500",No,Yes,No,,,,,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
"2 BEDROOM INCLUDES SMALL DEN , 1.5 BATHS, HEAT AND HOT WATER",1600.,2024-03-25T11:03:48.000Z,"Halifax, NS B3M 4S3",Duplex/Triplex,2 + Den,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-includes-small-den-1-5-baths-heat-and-hot-water/1689160086,Kijiji User,Owner,1,1 Year,Limited,"April 15, 2024",1,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No
Looking for one bedroom apartment ,,2024-03-25T10:32:34.000Z,"5536 Nora Bernard St, Halifax, B3K 1B2",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/looking-for-one-bedroom-apartment/1689159531,Kijiji User,Owner,0,1 Year,No,"April 1, 2024",500,Yes,Yes,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Shared accommodations - 1 bedroom on Seaside, beautiful views",700.,2024-03-25T05:09:08.000Z,"Portuguese Cove, NS B3V 1K2",House,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/shared-accommodations-1-bedroom-on-seaside-beautiful-views/1689155416,Kijiji User,Owner,1,1 Year,No,"March 29, 2024",900,Yes,No,No,,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No
Renovated apartment -Lease transfer ,,2024-03-25T03:15:59.000Z,"Cowie Hill Rd, Halifax, B3P 2M7",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/renovated-apartment-lease-transfer/1689152434,Kijiji User,Owner,1,1 Year,Yes,"June 1, 2024",600,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"BACHELOR/ STUDIO  UNIT AVAIL. NOW or April 01, 2024",1550.,2024-03-25T01:15:33.000Z,"Halifax, NS B3H 4K2",Apartment,Bachelor/Studio,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bachelor-studio-unit-avail-now-or-april-01-2024/1674421968,Kijiji User,Professional,0,1 Year,No,"April 1, 2024",400,No,No,Yes,,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
"Bachelor unit  $1800 - Halifax Central,parking, in unit laundry",1800.,2024-03-25T00:30:30.000Z,"6089 Jubilee Road, Halifax, NS",Apartment,Bachelor/Studio,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bachelor-unit-1800-halifax-central-parking-in-unit-laundry/1688610772,Kijiji User,Owner,1,1 Year,Yes,"April 1, 2024",600,No,Yes,Outdoors only,,,,,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
24-009 Fabulous location in Bishops Landing! Fully Furnished wit,4000.,2024-03-25T00:08:27.000Z,"Lower Water St, Halifax, NS, B3J 3Z3",Condo,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/24-009-fabulous-location-in-bishops-landing-fully-furnished-wit/1683391108,Kijiji User,Professional,2,1 Year,Limited,"April 1, 2024",Not Available,Yes,Yes,No,,,,,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
Somerset Place Apartments - 1 Bdrm available at 1030 South Park ,1970.,2024-03-25T00:08:26.000Z,"1030 South Park Street, Halifax, NS, B3J 2K9",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/somerset-place-apartments-1-bdrm-available-at-1030-south-park/1670341598,Kijiji User,Professional,0,1 Year,Yes,,660,No,No,No,,,,,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No
"Harbour View Apartments - 2 Bdrm - 2334 Longard Plaza, 2309, 231",2540.,2024-03-25T00:08:26.000Z,"2334 Longard Plaza, Halifax, NS, B3K 5K6",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/harbour-view-apartments-2-bdrm-2334-longard-plaza-2309-231/1670341578,Kijiji User,Professional,0,1 Year,Yes,"April 1, 2024",807,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No
The Welsford Apartments - Bachelor available at 2074 Robie Stree,1750.,2024-03-25T00:08:26.000Z,"2074 Robie Street, Halifax, NS, B3K 5L3",Apartment,Bachelor/Studio,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/the-welsford-apartments-bachelor-available-at-2074-robie-stree/1670341564,Kijiji User,Professional,0,1 Year,Yes,,507,No,No,No,,,,,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
Somerset Place Apartments - 2 Bdrm available at 1030 South Park ,2735.,2024-03-25T00:08:26.000Z,"1030 South Park Street, Halifax, NS, B3J 2K9",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/somerset-place-apartments-2-bdrm-available-at-1030-south-park/1670341559,Kijiji User,Professional,0,1 Year,Yes,"April 1, 2024",950,No,No,No,,,,,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No
Near Hydrostone: Get on the List! Large North End Apartments,,2024-03-25T00:07:56.000Z,"3807 Mont Blanc Terrace, Halifax, NS, B3K 6R9",Apartment,2 + Den,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/near-hydrostone:-get-on-the-list-large-north-end-apartments/1611659146,Kijiji User,Professional,0,1 Year,No,,"1,400",No,No,No,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes
Halifax Apartments – Scotia Tower - 1 Bdrm available at 1991 Bru,1895.,2024-03-25T00:07:46.000Z,"1991 Brunswick Street, Halifax, NS, B3J 3L8",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/halifax-apartments-scotia-tower-1-bdrm-available-at-1991-bru/1673116157,Kijiji User,Professional,0,1 Year,Yes,,659,No,No,No,,,,,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
"West Halifax,3 bedroom flat on Seaforth st $2700, w/parking",2700.,2024-03-25T00:00:31.000Z,"Seaforth Street, Halifax, NS",Apartment,3,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/west-halifax-3-bedroom-flat-on-seaforth-st-2700-w-parking/1688609471,Kijiji User,Owner,1,1 Year,Yes,"April 1, 2024",800,No,No,Outdoors only,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No
Bright 3+1 bdrm/2 bath house for rent,2900.,2024-03-24T23:31:01.000Z,"Timberlea, NS B3T 1E4",House,3 + Den,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-3-1-bdrm-2-bath-house-for-rent/1689134009,Kijiji User,Owner,3+,1 Year,Yes,"May 1, 2024","1,800",No,No,Outdoors only,,,,,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
"Fantastic 1 bedroom close to Dal, Smu and the QE2",1995.,2024-03-24T21:54:00.000Z,"5620 South Street, Halifax, NS, B3J 0A7",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fantastic-1-bedroom-close-to-dal-smu-and-the-qe2/1689128091,Kijiji User,Professional,0,1 Year,No,"March 25, 2024",Not Available,No,No,No,,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
