,title,price,date_posted,address,rental_type,num_bedrooms,num_bathrooms,url,company_type,num_parking,agreement_type,pet_friendly,move_in_date,size_sqft,furnished,air_conditioning,smoking_permitted,barrier_free_entrances_ramps,visual_aids,accessible_washrooms_in_suite,heat,hydro,water,cable_tv,internet,laundry_unit,laundry_building,dishwasher,fridge_freezer,yard,balcony,building_security,building_elevator,building_gym,bycycle_parking,storage_space,postal_code,rate_per_sqft,location,lat,long,region
124,77 Executive - 1 Bedroom Apt in a beautiful Sackville Home!,1800.0,2024-03-25 17:12:32+00:00,"77 - Lower Executive Drive, Sackville, NS, B4E 3A7",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/77-executive-1-bedroom-apt-in-a-beautiful-sackville-home/1686955326,Professional,1.0,1 Year,No,2024-04-01 00:00:00+00:00,500.0,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,B4E 3A7,3.6,,,,Sackville
127,BRIGHT/SMALL/1BR/FLAT/CLS2DAL/SMU/DWNTN/JUNE1/$1600INCL,1600.0,2024-03-25 15:59:40+00:00,"Carlton Street, Halifax, NS",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-small-1br-flat-cls2dal-smu-dwntn-june1-1600incl/1689182487,Owner,0.0,1 Year,No,2024-06-01 00:00:00+00:00,599.0,False,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,,2.67,"Carlton Street, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 1Y1, Canada",44.6416332,-63.5854928,Unknown
128,"Windsor st- All Inclusive,ht,hw,lights,parking",1350.0,2024-03-25 15:54:30+00:00,"3511 Windsor St., Halifax, NS, B3K 5G6",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/windsor-st-all-inclusive-ht-hw-lights-parking/1689177062,Professional,1.0,1 Year,No,2024-04-01 00:00:00+00:00,500.0,False,False,outdoors only,True,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,B3K 5G6,2.7,"3511, Windsor Street, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3K 5G6, Canada",44.66099135,-63.61570245,North End Halifax
129,"Ford St-Heat,Hw incl. + Hardwood, 1 Parking-Balcony,Elevator",1595.0,2024-03-25 15:36:15+00:00,"6 Ford St, Halifax, NS, B3M 2M6",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/ford-st-heat-hw-incl-hardwood-1-parking-balcony-elevator/1689177057,Professional,1.0,1 Year,Limited,2024-04-01 00:00:00+00:00,500.0,False,False,outdoors only,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,B3M 2M6,3.19,,,,Larry Uteck
130,Luxurious 2 bedroom Penthouse Style Suite on Hollis Street,6600.0,2024-03-25 15:32:03+00:00,"Hollis Street, Halifax, NS",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/luxurious-2-bedroom-penthouse-style-suite-on-hollis-street/1676121053,Professional,0.0,1 Year,Yes,2024-04-30 00:00:00+00:00,2020.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,True,True,True,True,True,,3.27,"Hollis Street, Downtown Halifax, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3J 3J9, Canada",44.6475534,-63.5728183,Downtown Halifax
132,2 BEDROOM APT - JULY 1ST - 6071 SHIRLEY ST,1799.0,2024-03-25 15:30:32+00:00,"6071 Shirley Street, Halifax, NS",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-apt-july-1st-6071-shirley-st/1688203504,Professional,0.0,1 Year,Limited,2024-07-01 00:00:00+00:00,750.0,False,False,outdoors only,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,,2.4,"Lincoln Plaza, 6071, Shirley Street, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 2P1, Canada",44.64562895,-63.591799050000006,Unknown
133,Renovated 1 Bedroom  Apartments in Halifax - 18 Crown Drive,1995.0,2024-03-25 15:15:31+00:00,"Halifax, NS B3M 1C3",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/renovated-1-bedroom-apartments-in-halifax-18-crown-drive/1682649813,Professional,0.0,1 Year,Limited,2024-03-01 00:00:00+00:00,500.0,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,False,True,True,False,False,False,B3M 1C3,3.99,"Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, Canada",44.648618,-63.5859487,Larry Uteck
134,"Central Halifax- Lrg 1 bedroom- Laundry, parking",1595.0,2024-03-25 15:12:01+00:00,"2360 Hunter St., Halifax, NS, B3K 4V6",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/central-halifax-lrg-1-bedroom-laundry-parking/1689177060,Professional,0.0,1 Year,Limited,2024-05-01 00:00:00+00:00,500.0,False,False,outdoors only,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,B3K 4V6,3.19,"2360, Hunter Street, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3K 4V6, Canada",44.651403849999994,-63.59537717216418,North End Halifax
135,South End Halifax - Beautiful 1 bed/1.5 bath avail June 1st!,2245.0,2024-03-25 14:59:05+00:00,"Birmingham Street, Halifax, NS",Apartment,1.0,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/south-end-halifax-beautiful-1-bed-1-5-bath-avail-june-1st/1689176066,Owner,0.0,1 Year,No,2024-06-01 00:00:00+00:00,740.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,True,True,,3.03,"Birmingham Street, Downtown Halifax, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3J 2J6, Canada",44.6439983,-63.5774089,Downtown Halifax
136,"2001 Mackeen, Halifax Apartmants, unit 806 up for lease transfer",2080.0,2024-03-25 14:43:50+00:00,"Halifax, NS B3J 3J7",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2001-mackeen-halifax-apartmants-unit-806-up-for-lease-transfer/1689174424,Owner,0.0,1 Year,No,2024-03-01 00:00:00+00:00,720.0,False,False,outdoors only,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,B3J 3J7,2.89,,,,Downtown Halifax
137,Belmont Arms - 2 Bed/2 Bath avail May 1st.  Perfect for seniors!,3025.0,2024-03-25 14:41:16+00:00,"Tower Road, Halifax, NS",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/belmont-arms-2-bed-2-bath-avail-may-1st-perfect-for-seniors/1689174156,Owner,0.0,1 Year,No,2024-05-01 00:00:00+00:00,1350.0,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,,2.24,"Tower Road, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 1C4, Canada",44.6271443,-63.5754038,South End Halifax
144,1 AND 2 BEDROOMS AVAILABLE JUNE 1ST - DOWNTOWN HALIFAX,2125.0,2024-03-25 14:23:58+00:00,"Queen Street, Halifax, NS",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-and-2-bedrooms-available-june-1st-downtown-halifax/1689172337,Owner,0.0,1 Year,No,2024-06-01 00:00:00+00:00,600.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,True,True,True,,3.54,"Queen Street, Downtown Halifax, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3J 2J6, Canada",44.6442197,-63.5774768,Downtown Halifax
145,BRAND NEW TWO BEDROOM STEPS FROM POINT PLEASANT PARK!!!,2999.0,2024-03-25 14:19:45+00:00,"1027 South Park Street, Halifax, NS, B3H 2W2",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/brand-new-two-bedroom-steps-from-point-pleasant-park/1683791596,Professional,0.0,1 Year,Yes,2024-02-01 00:00:00+00:00,1000.0,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,B3H 2W2,3.0,"1027, South Park Street, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 2W9, Canada",44.6348608,-63.5759492,South End Halifax
146,BRAND NEW TWO BEDROOM FLAT IN QUIET NEIGHBOURHOOD AVAILABLE NOW!,2599.0,2024-03-25 14:19:45+00:00,"2100 Poplar Street, Halifax, NS, B3L 2Y7",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/brand-new-two-bedroom-flat-in-quiet-neighbourhood-available-now/1687519784,Professional,0.0,1 Year,Yes,2024-03-04 00:00:00+00:00,800.0,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,B3L 2Y7,3.25,"2100, Poplar Street, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3L 2Y7, Canada",44.6453467,-63.6052533,West End of Halifax
148,"RENOVATED TWO BEDROOM WITH BALCONY STEPS TO DOWNTOWN, DAL & SMU!",2509.0,2024-03-25 14:19:44+00:00,"5713 Victoria Rd, Halifax, NS, B3H 2Y3",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/renovated-two-bedroom-with-balcony-steps-to-downtown-dal-smu/1687665617,Professional,0.0,1 Year,Yes,2024-05-01 00:00:00+00:00,750.0,False,False,outdoors only,True,False,False,True,False,True,False,False,False,True,True,True,False,True,False,True,False,False,False,B3H 2Y3,3.35,"South Park Towers, 5713, Victoria Road, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 2Y3, Canada",44.635959299999996,-63.57713100588235,South End Halifax
149,LARGE & BRIGHT ONE BEDROOM STEPS TO SMU & DOWNTOWN  MAY 1ST!,1799.0,2024-03-25 14:19:44+00:00,"5670 Inglis Street, Halifax, NS, B3H 1K3",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/large-bright-one-bedroom-steps-to-smu-downtown-may-1st/1683791586,Professional,0.0,1 Year,Yes,2024-05-01 00:00:00+00:00,600.0,False,False,outdoors only,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,B3H 1K3,3.0,"5670, Inglis Street, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 1K3, Canada",44.6343981,-63.57502158405797,South End Halifax
151,"BRIGHT & SPACIOUS ONE BEDROOM STEPS TO DAL, SMU, IWK & DOWNTOWN!",1799.0,2024-03-25 14:19:44+00:00,"6056 South Street, Halifax, NS, B3H 1T1",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-spacious-one-bedroom-steps-to-dal-smu-iwk-downtown/1683791561,Professional,0.0,1 Year,Yes,2024-05-01 00:00:00+00:00,550.0,False,False,outdoors only,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,B3H 1T1,3.27,"6056, South Street, Marlborough Woods, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 1T1, Canada",44.6359422,-63.5863175508093,South End Halifax
152,LARGE & BRIGHT ONE BEDROOM WITH LARGE BALCONY! SOUTH END!!!,1799.0,2024-03-25 14:19:44+00:00,"5713 Victoria Road, Halifax, NS, B3H 2Y3",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/large-bright-one-bedroom-with-large-balcony-south-end/1678204713,Professional,0.0,1 Year,Yes,2024-05-01 00:00:00+00:00,550.0,False,False,outdoors only,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,B3H 2Y3,3.27,"South Park Towers, 5713, Victoria Road, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 2Y3, Canada",44.635959299999996,-63.57713100588235,South End Halifax
153,BRAND NEW ONE BEDROOM SUITE STEPS TO SMU & DOWNTOWN!!!,2149.0,2024-03-25 14:19:44+00:00,"5726 Inglis St, Halifax, NS, B3H 1K4",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/brand-new-one-bedroom-suite-steps-to-smu-downtown/1687665630,Professional,0.0,1 Year,Yes,2024-05-01 00:00:00+00:00,500.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,B3H 1K4,4.3,"5726, Inglis Street, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 1K4, Canada",44.63403255,-63.576553057497435,South End Halifax
154,BRIGHT & SPACIOUS TWO BEDROOM STEPS TO HFX SHOPPING CENTRE!!!,2099.0,2024-03-25 14:19:44+00:00,"3693 Windsor Street, Halifax, NS, B3K 5G7",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-spacious-two-bedroom-steps-to-hfx-shopping-centre/1688736375,Professional,0.0,1 Year,Yes,2024-08-01 00:00:00+00:00,800.0,False,False,outdoors only,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,B3K 5G7,2.62,"3693, Windsor Street, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3K 5G7, Canada",44.66110865,-63.620462997047255,North End Halifax
155,"ALL UTILITIES INCLUDED BACHELOR APT STEPS TO DAL, SMU & IWK!!!",1549.0,2024-03-25 14:19:44+00:00,"6060 South Street, Halifax, NS, B3H 1T1",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/all-utilities-included-bachelor-apt-steps-to-dal-smu-iwk/1687665627,Professional,0.0,1 Year,Yes,2024-08-01 00:00:00+00:00,450.0,False,False,outdoors only,True,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,B3H 1T1,3.44,"6060, South Street, Marlborough Woods, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 1T1, Canada",44.6359596,-63.5865006,South End Halifax
156,BRIGHT & SPACIOUS STUDIO APARTMENT IN NORTH END HALIFAX!!! AUG 1,1529.0,2024-03-25 14:19:44+00:00,"5375 Rector Street, Halifax, NS, B3K 2N6",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-spacious-studio-apartment-in-north-end-halifax-aug-1/1688736367,Professional,0.0,1 Year,Yes,2024-08-01 00:00:00+00:00,300.0,False,False,outdoors only,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,B3K 2N6,5.1,"5375, Rector Street, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3K 2N6, Canada",44.6697229,-63.60554589255115,North End Halifax
157,BRAND NEW ONE BEDROOM! BALCONY! NORTH END HFX! AVAILABLE NOW!!!,1829.0,2024-03-25 14:19:44+00:00,"6140 Lady Hammond Road, Halifax, NS, B3K 2R5",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/brand-new-one-bedroom-balcony-north-end-hfx-available-now/1679710380,Professional,0.0,1 Year,Yes,2024-02-01 00:00:00+00:00,600.0,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,B3K 2R5,3.05,"6140, Lady Hammond Road, Convoy Place, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3K 2R5, Canada",44.665107500000005,-63.61406596834411,North End Halifax
158,"RENOVATED ONE BEDROOM STEPS TO DAL, SMU HOSPITALS & DOWNTOWN!!!",2149.0,2024-03-25 14:19:44+00:00,"6060 South Street, Halifax, NS, B3H 1T1",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/renovated-one-bedroom-steps-to-dal-smu-hospitals-downtown/1687665628,Professional,0.0,1 Year,Yes,2024-08-01 00:00:00+00:00,500.0,False,False,outdoors only,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,B3H 1T1,4.3,"6060, South Street, Marlborough Woods, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 1T1, Canada",44.6359596,-63.5865006,South End Halifax
159,"LARGE TWO BEDROOM WITH BALCONY STEPS TO DOWNTOWN, DAL & SMU!!!",2599.0,2024-03-25 14:19:43+00:00,"5713 Victoria Rd, Halifax, NS, B3H 2Y3",Apartment,2.0,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/large-two-bedroom-with-balcony-steps-to-downtown-dal-smu/1683791598,Professional,0.0,1 Year,Yes,2024-08-01 00:00:00+00:00,800.0,False,False,outdoors only,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,B3H 2Y3,3.25,"South Park Towers, 5713, Victoria Road, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 2Y3, Canada",44.635959299999996,-63.57713100588235,South End Halifax
160,432 Herring Cove Road - Brand New 1 Bedroom Apartment - $1699,1699.0,2024-03-25 14:09:43+00:00,"432 Herring Cove Road, Halifax, NS, B3R 1W4",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/432-herring-cove-road-brand-new-1-bedroom-apartment-1699/1682278272,Professional,0.0,1 Year,Yes,2024-05-01 00:00:00+00:00,400.0,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,True,False,True,False,False,True,True,B3R 1W4,4.25,"432, Herring Cove Road, Spryfield, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3R 1W4, Canada",44.607396449999996,-63.61430699188265,Spryfield Halifax
161,2 McIntosh St - 2 Bedroom Apartment - Spryfield -$2050 - May 1,2050.0,2024-03-25 14:09:33+00:00,"2 McIntosh St, Halifax, NS, B3R 1G8",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-mcintosh-st-2-bedroom-apartment-spryfield-2050-may-1/1682548276,Professional,0.0,1 Year,Yes,2024-05-01 00:00:00+00:00,500.0,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,B3R 1G8,4.1,"2, Mcintosh Street, Mcintosh Run Estates, Thornhill, Spryfield, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3R 1G8, Canada",44.6010894,-63.607738,Spryfield Halifax
163,"FAIVIEW, TWO BEDROOM APARTMENT FOR RENT JUNE 1ST,2024",1450.0,2024-03-25 13:45:31+00:00,"Halifax, NS B3N",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/faiview-two-bedroom-apartment-for-rent-june-1st-2024/1689168510,Owner,1.0,1 Year,No,2024-06-01 00:00:00+00:00,650.0,False,False,outdoors only,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,,2.23,,,,Unknown
164,"Two 1-Bedroom Apartments Available May 1, 2024",1795.0,2024-03-25 13:04:26+00:00,"Kencrest Avenue, Halifax, NS",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/two-1-bedroom-apartments-available-may-1-2024/1688563091,Owner,0.0,1 Year,Limited,2024-05-01 00:00:00+00:00,650.0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,,2.76,"Kencrest Avenue, Convoy Place, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3K 3L6, Canada",44.6733333,-63.6128827,Unknown
168,Looking for one bedroom apartment ,1995.0,2024-03-25 10:32:34+00:00,"5536 Nora Bernard St, Halifax, B3K 1B2",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/looking-for-one-bedroom-apartment/1689159531,Owner,0.0,1 Year,No,2024-04-01 00:00:00+00:00,500.0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,B3K 1B2,3.99,"5536, Nora Bernard Street, Downtown Halifax, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3K 1B2, Canada",44.6518325,-63.5845854,Downtown Halifax
170,Renovated apartment -Lease transfer ,1995.0,2024-03-25 03:15:59+00:00,"Cowie Hill Rd, Halifax, B3P 2M7",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/renovated-apartment-lease-transfer/1689152434,Owner,1.0,1 Year,Yes,2024-06-01 00:00:00+00:00,600.0,False,False,outdoors only,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,True,True,False,False,B3P 2M7,3.32,"Cowie Hill Road, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3P 2P7, Canada",44.6323253,-63.6188013,Cowie Hill
171,"BACHELOR/ STUDIO  UNIT AVAIL. NOW or April 01, 2024",1550.0,2024-03-25 01:15:33+00:00,"Halifax, NS B3H 4K2",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bachelor-studio-unit-avail-now-or-april-01-2024/1674421968,Professional,0.0,1 Year,No,2024-04-01 00:00:00+00:00,400.0,False,False,True,True,False,False,True,True,True,False,False,False,True,True,True,True,False,False,True,False,True,True,B3H 4K2,3.88,,,,South End Halifax
172,"Bachelor unit  $1800 - Halifax Central,parking, in unit laundry",1800.0,2024-03-25 00:30:30+00:00,"6089 Jubilee Road, Halifax, NS",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bachelor-unit-1800-halifax-central-parking-in-unit-laundry/1688610772,Owner,1.0,1 Year,Yes,2024-04-01 00:00:00+00:00,600.0,False,True,outdoors only,True,False,False,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,,3.0,"6089, Jubilee Road, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 2E6, Canada",44.643059050000005,-63.590896810076124,Unknown
174,Somerset Place Apartments - 1 Bdrm available at 1030 South Park ,1970.0,2024-03-25 00:08:26+00:00,"1030 South Park Street, Halifax, NS, B3J 2K9",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/somerset-place-apartments-1-bdrm-available-at-1030-south-park/1670341598,Professional,0.0,1 Year,Yes,2024-04-01 00:00:00+00:00,660.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,B3J 2K9,2.98,"Somerset Place, 1030, South Park Street, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 2W3, Canada",44.63530235,-63.57682805267436,South End Halifax
175,"Harbour View Apartments - 2 Bdrm - 2334 Longard Plaza, 2309, 231",2540.0,2024-03-25 00:08:26+00:00,"2334 Longard Plaza, Halifax, NS, B3K 5K6",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/harbour-view-apartments-2-bdrm-2334-longard-plaza-2309-231/1670341578,Professional,0.0,1 Year,Yes,2024-04-01 00:00:00+00:00,807.0,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,True,False,B3K 5K6,3.15,"2334, Longard Plaza, Downtown Halifax, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3K 5K6, Canada",44.6553915,-63.584646,Downtown Halifax
176,The Welsford Apartments - Bachelor available at 2074 Robie Stree,1750.0,2024-03-25 00:08:26+00:00,"2074 Robie Street, Halifax, NS, B3K 5L3",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/the-welsford-apartments-bachelor-available-at-2074-robie-stree/1670341564,Professional,0.0,1 Year,Yes,2024-04-01 00:00:00+00:00,507.0,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,True,False,True,True,True,False,B3K 5L3,3.45,"The Welsford, 2074, Robie Street, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3K 5L3, Canada",44.6484791,-63.59153453877745,North End Halifax
177,Somerset Place Apartments - 2 Bdrm available at 1030 South Park ,2735.0,2024-03-25 00:08:26+00:00,"1030 South Park Street, Halifax, NS, B3J 2K9",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/somerset-place-apartments-2-bdrm-available-at-1030-south-park/1670341559,Professional,0.0,1 Year,Yes,2024-04-01 00:00:00+00:00,950.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,B3J 2K9,2.88,"Somerset Place, 1030, South Park Street, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 2W3, Canada",44.63530235,-63.57682805267436,South End Halifax
178,Near Hydrostone: Get on the List! Large North End Apartments,1995.0,2024-03-25 00:07:56+00:00,"3807 Mont Blanc Terrace, Halifax, NS, B3K 6R9",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/near-hydrostone:-get-on-the-list-large-north-end-apartments/1611659146,Professional,0.0,1 Year,No,2024-04-01 00:00:00+00:00,1400.0,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True,B3K 6R9,1.42,"3807, Mont Blanc Terrace, Convoy Place, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3K 6R3, Canada",44.673302,-63.60897528153057,North End Halifax
179,Halifax Apartments – Scotia Tower - 1 Bdrm available at 1991 Bru,1895.0,2024-03-25 00:07:46+00:00,"1991 Brunswick Street, Halifax, NS, B3J 3L8",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/halifax-apartments-scotia-tower-1-bdrm-available-at-1991-bru/1673116157,Professional,0.0,1 Year,Yes,2024-04-01 00:00:00+00:00,659.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,True,True,B3J 3L8,2.88,"1991, Brunswick Street, Downtown Halifax, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3J 2G9, Canada",44.6500748,-63.5780816,Downtown Halifax
180,"West Halifax,3 bedroom flat on Seaforth st $2700, w/parking",2700.0,2024-03-25 00:00:31+00:00,"Seaforth Street, Halifax, NS",Apartment,3.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/west-halifax-3-bedroom-flat-on-seaforth-st-2700-w-parking/1688609471,Owner,1.0,1 Year,Yes,2024-04-01 00:00:00+00:00,800.0,False,False,outdoors only,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,,3.38,"Seaforth Street, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3L 3J7, Canada",44.6506722,-63.6019927,Unknown
182,"Fantastic 1 bedroom close to Dal, Smu and the QE2",1995.0,2024-03-24 21:54:00+00:00,"5620 South Street, Halifax, NS, B3J 0A7",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fantastic-1-bedroom-close-to-dal-smu-and-the-qe2/1689128091,Professional,0.0,1 Year,No,2024-03-25 00:00:00+00:00,500.0,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False,B3J 0A7,3.99,,,,Downtown Halifax
183,THE CRANE- 2-Bedroom unit-301-June 1st-$2795.00,2795.0,2024-03-24 21:24:00+00:00,"1471 South Park Street, Halifax, NS, B3J 0J7",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/the-crane-2-bedroom-unit-301-june-1st-2795-00/1689128093,Professional,0.0,1 Year,No,2024-06-01 00:00:00+00:00,500.0,False,True,False,True,True,False,True,False,True,False,False,True,False,True,True,False,True,True,True,False,False,False,B3J 0J7,5.59,,,,Downtown Halifax
